test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
Health Check Load Tests,Health Monitoring Performance,comprehensive_health,00:00:39,global information,5646,30,5616,0.8,47.46,266.26,831.65,160.64,201.09,801.79,832,275.62,0,0,0,0
Health Check Load Tests,Health Monitoring Performance,system_metrics,00:00:38,global information,585,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0
